"","age","agekdbrn","coninc","nummen","numwomen","sibs","size","weekswrk","ADULTS","ATTEND","BABIES","CLASS","CLOSEBLK","CLOSEWHT","COMPREND","COURTS","DEGREE","EARNRS","FINALTER","FINRELA","FUND","HAPPY","HEALTH","INCOM16","MADEG","NATCHLD","NATENRGY","NATMASS","NATPARK","NATROAD","NATSCI","NATSOC","PADEG","PARTNERS","PARTNERS5","POLVIEWS","PRAY","PRETEEN","RANK","RELACTIV","RELITEN","RELPERSN","SATFIN","SATJOB","SEXFREQ","SPRTPRSN","TEENS","VETYEARS","aidscndm","aidslook","ballot","bible","born","cappun","condom","consent","coop","CSHUTYP10","dipged","dwelling","ethnum","evcrack","evpaidsx","evstray","famgen","family16","fear","feeused","gender1","god","hhrace","hivtest","hunt","mar1","mar2","matesex","mawrkgrw","mobile16","othlang","owngun","partfull","partyid","pawrkslf","phone","postlife","raclive","racopen","reborn","reg16","relate2","relatsex","res16","rplace","sex","sexornt","srcbelt","VOTE08","whoelse1","whoelse2","whoelse3","whoelse4","whoelse5","wksub","wksup","wrkgovt","xnorcsiz"
"11",43,36,8313.75,NA,0,9,24,0,5,8,NA,2,NA,5,1,NA,1,1,3,NA,NA,NA,2,NA,NA,2,3,NA,2,NA,3,2,NA,2,2,NA,5,0,5,NA,NA,3,2,NA,4,3,0,NA,"Yes","Yes",NA,"WORD OF GOD",NA,"oppose",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","cooperative","LIVING IN HOUSEHOLD",NA,NA,"NAMES 1","no","no","no",NA,NA,"no","YES, MONEY",NA,"KNOW GOD EXISTS",NA,"No","neither","married",NA,"yes",NA,NA,"yes","no",NA,"independent","SELF-EMPLOYED","PHONE IN HOME",NA,NA,"CANT DISCRIMINATE",NA,"foreign",NA,NA,"farm","OTHER RELATIVE","female",NA,"OTHER URBAN","Did not vote","yes","no",NA,"no","no",NA,NA,NA,"CITY,50-250000"
"12",56,NA,8313.75,NA,NA,NA,24,0,NA,1,NA,2,5,5,NA,NA,1,0,1,5,2,1,1,2,2,1,NA,NA,1,1,3,1,2,NA,1,NA,NA,0,8,1,2,NA,2,NA,1,NA,NA,1,NA,NA,NA,"WORD OF GOD","yes",NA,"NOT USED",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD",NA,"ROW HOUSE","CHOOSES 1 OF 2+","no",NA,"NEVER MARRIED","1 GEN",NA,"yes",NA,"male","KNOW GOD EXISTS","white",NA,NA,NA,NA,NA,"yes","SAME ST,DIF CITY","no",NA,NA,"independent","SOMEONE ELSE",NA,"yes",NA,"OWNER DECIDES","no","MIDDLE ATLANTIC",NA,"YES, IN RELATIONSHIP","COUNTRY,NONFARM",NA,"male",NA,"OTHER URBAN","Did not vote",NA,"no","no","no",NA,NA,NA,NA,"CITY,50-250000"
"13",69,25,13856.25,0,NA,3,24,0,1,4,0,2,NA,9,NA,1,1,0,1,1,2,2,NA,2,1,1,2,3,1,2,NA,NA,NA,NA,NA,3,4,0,3,3,4,3,1,NA,1,3,0,1,"Yes",NA,"BALLOT A",NA,"yes","favor","USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","cooperative","LIVING IN HOUSEHOLD",NA,"ROW HOUSE",NA,NA,NA,"no","1 GEN","MOTHER & FATHER","yes","YES, MONEY","male",NA,"white","Yes","neither","NEVER MARRIED",NA,NA,"no",NA,"no",NA,NA,"independent","SOMEONE ELSE","cellphone","yes","yes",NA,"yes","MIDDLE ATLANTIC",NA,"YES, IN RELATIONSHIP","50000 TO 250000","HEAD OF HOUSEHOLD","male","Heterosexual or straight",NA,"Did not vote",NA,"no","no","no","no",NA,NA,NA,"CITY,50-250000"
"14",40,18,17551.25,NA,NA,2,24,NA,NA,NA,0,1,NA,NA,3,NA,2,NA,1,1,2,2,3,2,NA,1,2,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,4,NA,2,NA,1,3,NA,NA,0,NA,NA,NA,"BALLOT A",NA,NA,"favor",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","ged","2 UNITS-ONE ABOVE",NA,NA,NA,NA,"1 GEN","mother","no","YES, MONEY",NA,"KNOW GOD EXISTS","white",NA,"neither","married","married",NA,"yes","SAME CITY",NA,"no","FULL-TIME","NOT STR DEMOCRAT",NA,"PHONE IN HOME",NA,NA,NA,"no","MIDDLE ATLANTIC","spouse",NA,NA,"spouse","female",NA,"OTHER URBAN",NA,"no","no","no","no",NA,NA,"no","private","CITY,50-250000"
"15",25,NA,20322.5,0,20,2,NA,52,3,3,0,2,NA,NA,3,1,NA,1,2,3,2,2,NA,NA,NA,NA,1,2,NA,2,1,NA,2,6,6,NA,NA,0,NA,1,NA,2,3,NA,5,NA,0,1,"Yes","Yes","BALLOT B","INSPIRED WORD","yes","favor","NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED",NA,"High School diploma","3-4 FAM HOUSE","NAMES 1","no","no","NEVER MARRIED","1 GEN","father",NA,"YES, MONEY","male","SOME HIGHER POWER","white","No",NA,NA,"NEVER MARRIED",NA,NA,"SAME CITY",NA,NA,NA,NA,"SOMEONE ELSE","cellphone","yes","yes",NA,"no",NA,NA,"NO, NO RELATIONSHIP","TOWN LT 50000","NON-RELATIVE","female",NA,NA,"Did not vote",NA,"no",NA,NA,"no",NA,NA,"private",NA
"16",NA,24,NA,NA,10,3,56,40,2,1,0,NA,NA,NA,NA,1,2,2,2,3,2,2,NA,3,2,3,1,2,2,1,2,NA,1,2,2,NA,6,0,5,NA,2,4,2,4,NA,NA,0,3,"Yes",NA,NA,NA,"yes",NA,"NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","ged","2 UNITS-ONE ABOVE","NAMES 1","no","no","no","1 GEN","MOTHER & FATHER",NA,"no","male","KNOW GOD EXISTS","white",NA,NA,NA,"married","yes","yes",NA,NA,NA,"PART-TIME",NA,"SOMEONE ELSE","PHONE IN HOME","yes","yes",NA,"no","NEW ENGLAND","spouse",NA,NA,"HEAD OF HOUSEHOLD","male","Heterosexual or straight","SUBURB, 13-100",NA,"no","no","yes","no","no","no","no","private",NA
"17",NA,24,60967.5,NA,NA,6,56,52,2,9,NA,1,9,NA,NA,1,NA,2,3,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,5,NA,9,8,4,4,NA,NA,NA,4,1,1,NA,NA,"BALLOT C",NA,"no","favor",NA,"R CONSENTS TO RECORDING INTERVIEW",NA,NA,NA,"ROW HOUSE",NA,NA,NA,NA,NA,NA,NA,"YES, MONEY","female","KNOW GOD EXISTS","OTHER, MIXED",NA,"neither","divorced","NEVER MARRIED",NA,"yes","DIFFERENT STATE","yes","no","FULL-TIME","NOT STR DEMOCRAT","SOMEONE ELSE","cellphone",NA,"yes","CANT DISCRIMINATE","no","foreign",NA,NA,"TOWN LT 50000",NA,"female",NA,"SUBURB, 13-100","Voted","no","no","no","no","no","yes",NA,"private","SUBURB, MED CITY"
"18",46,NA,160742.21785,NA,NA,NA,56,NA,1,1,0,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2,2,NA,NA,NA,1,1,NA,2,NA,NA,4,1,0,5,1,NA,NA,NA,4,NA,NA,0,1,NA,NA,"BALLOT C",NA,"yes","favor",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED",NA,NA,"High School diploma",NA,"NAMES 1",NA,NA,NA,"1 GEN","MOTHER & FATHER","no","YES, MONEY",NA,NA,"white",NA,"neither",NA,NA,NA,"yes","SAME ST,DIF CITY","no","no","FULL-TIME","independent","SELF-EMPLOYED","PHONE IN HOME",NA,"yes","OWNER DECIDES","no",NA,NA,NA,"BIG-CITY SUBURB","HEAD OF HOUSEHOLD","male",NA,NA,"Did not vote",NA,"no","no",NA,"no","no","yes","private","SUBURB, MED CITY"
"19",51,21,NA,0,NA,5,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,2,NA,NA,NA,2,1,2,NA,1,1,NA,NA,NA,4,3,5,0,NA,NA,2,NA,2,3,6,3,NA,1,"Yes",NA,NA,"WORD OF GOD","no","favor","NOT USED",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD",NA,"3-4 FAM HOUSE","CHOOSES 1 OF 2+","no","no","no",NA,"mother",NA,NA,"female",NA,"white",NA,NA,NA,"widowed",NA,"yes","SAME CITY",NA,NA,"FULL-TIME","IND,NEAR REP",NA,"cellphone","yes","no",NA,"yes","NEW ENGLAND","NON-RELATIVE",NA,NA,"NON-RELATIVE","male",NA,"SUBURB, 13-100",NA,NA,"no","no","no","no",NA,NA,NA,"SUBURB, MED CITY"
"20",39,NA,5542.5,NA,NA,2,NA,52,1,9,1,3,NA,7,NA,NA,1,NA,2,5,2,NA,NA,3,2,NA,NA,2,2,2,2,3,NA,NA,NA,NA,NA,0,NA,NA,4,4,2,3,NA,4,NA,1,NA,NA,"BALLOT C","INSPIRED WORD","no","oppose",NA,NA,NA,NA,NA,NA,"NAMES 1",NA,NA,NA,"2 GENS, CHILDREN","other","no","YES, MONEY","female","KNOW GOD EXISTS","OTHER, MIXED",NA,NA,NA,NA,NA,NA,"DIFFERENT STATE",NA,"no","FULL-TIME","NOT STR DEMOCRAT",NA,"cellphone","yes",NA,"CANT DISCRIMINATE","no","MIDDLE ATLANTIC",NA,NA,"CITY GT 250000","HEAD OF HOUSEHOLD",NA,NA,"SUBURB, 13-100","Did not vote",NA,NA,"no","no","no",NA,"yes","private","SUBURB, MED CITY"
"21",NA,20,17551.25,0,0,NA,56,NA,1,8,0,3,5,NA,NA,2,NA,1,NA,2,NA,3,4,3,NA,1,NA,NA,NA,1,NA,NA,4,2,3,4,6,NA,5,8,4,NA,NA,4,NA,3,NA,1,"Yes","Yes","BALLOT A",NA,NA,NA,"NOT USED","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","APARTMENT-4 STORIES","NAMES 1",NA,NA,"no","2 GENS, CHILDREN","MOTHER & FATHER","yes",NA,"female","KNOW GOD EXISTS",NA,NA,"neither",NA,NA,"no",NA,"DIFFERENT STATE","yes","no","FULL-TIME","independent","SOMEONE ELSE","PHONE IN HOME","yes",NA,"neither","no","foreign","child","YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD","female","Heterosexual or straight","SUBURB, 13-100","Did not vote","yes","no","no","no",NA,"yes",NA,"private",NA
"22",36,17,NA,1,0,NA,NA,0,2,1,NA,NA,NA,NA,3,3,1,1,NA,3,NA,3,NA,NA,2,NA,2,NA,1,NA,NA,2,2,NA,3,6,3,NA,NA,1,2,3,1,3,NA,NA,NA,NA,"Yes","Yes","BALLOT B","BOOK OF FABLES","no","favor",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","RESTLESS,IMPATIENT","LIVING IN HOUSEHOLD",NA,NA,"NAMES 1","no","no","NEVER MARRIED",NA,"MOTHER & FATHER",NA,"YES, MONEY",NA,NA,"white","Yes",NA,NA,"NEVER MARRIED",NA,"no",NA,"no",NA,NA,"IND,NEAR REP","SOMEONE ELSE","cellphone","yes","no",NA,"yes","foreign","NON-RELATIVE","YES, IN RELATIONSHIP","50000 TO 250000","NON-RELATIVE",NA,"Heterosexual or straight","SUBURB, 12 LRGST",NA,"no",NA,"no","no","no","no","no",NA,NA
"23",42,NA,8313.75,2,0,6,125,6,1,7,1,NA,5,NA,NA,1,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,4,3,NA,NA,NA,NA,3,2,1,3,NA,0,1,"Yes",NA,"BALLOT C",NA,"no","oppose","USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","Other",NA,"NAMES 1","no",NA,"no","2 GENS, CHILDREN","MALE RELATIVE","yes",NA,"female","KNOW GOD EXISTS","white",NA,"neither","separated",NA,"yes",NA,"DIFFERENT STATE","no",NA,NA,NA,"SELF-EMPLOYED","PHONE IN HOME","yes","yes",NA,"no","foreign","child","NO, NO RELATIONSHIP",NA,NA,NA,"Heterosexual or straight","SUBURB, 12 LRGST","Did not vote","no",NA,"no",NA,"no",NA,NA,"private","SUBURB, LRG CITY"
"24",38,NA,NA,NA,30,NA,NA,0,2,3,NA,1,8,NA,NA,NA,2,1,NA,2,1,2,4,NA,NA,NA,NA,1,NA,3,1,NA,1,NA,NA,NA,1,0,4,4,NA,NA,NA,NA,NA,1,0,NA,NA,NA,"BALLOT C",NA,"no",NA,NA,"R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","ged","ROW HOUSE","NAMES 1","no","no",NA,NA,"MALE RELATIVE","yes",NA,"male","DONT BELIEVE",NA,"Yes",NA,"separated","NEVER MARRIED","yes",NA,NA,"yes","no",NA,NA,NA,"cellphone",NA,"yes","OWNER DECIDES","no",NA,"PARENT OR PARENT-IN-LAW",NA,"50000 TO 250000","PARENT OR PARENT-IN-LAW","male","Heterosexual or straight",NA,NA,"no","no",NA,"no",NA,NA,NA,"private","SUBURB, LRG CITY"
"25",38,NA,24017.5,3,0,3,125,52,NA,5,0,2,3,3,3,1,2,NA,NA,2,2,2,3,3,2,NA,NA,2,1,2,2,1,2,2,NA,2,5,NA,5,1,NA,NA,2,3,5,NA,1,1,"Yes",NA,NA,"BOOK OF FABLES",NA,"oppose",NA,NA,"FRIENDLY,INTERESTED",NA,"High School diploma","2 UNITS SIDE BY SIDE",NA,"no","no","NEVER MARRIED","2 GENS, CHILDREN","MOTHER & FATHER","yes",NA,"female",NA,"white","No","neither",NA,"NEVER MARRIED","yes","yes","DIFFERENT STATE","yes",NA,"FULL-TIME","STRONG DEMOCRAT","SELF-EMPLOYED","PHONE IN HOME","no","yes","CANT DISCRIMINATE",NA,"foreign",NA,NA,NA,"HEAD OF HOUSEHOLD","female",NA,"SUBURB, 12 LRGST","Did not vote","no","no","no","no",NA,"no","no","government","SUBURB, LRG CITY"
"26",28,NA,NA,2,0,NA,125,46,1,1,0,2,9,6,NA,1,NA,1,1,NA,1,1,4,4,NA,1,3,1,1,NA,NA,NA,NA,1,1,4,1,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,"BALLOT C","BOOK OF FABLES","yes","oppose","USED LAST TIME","R CONSENTS TO RECORDING INTERVIEW","RESTLESS,IMPATIENT",NA,"High School diploma","APARTMENT HOUSE","NAMES 1",NA,"no","NEVER MARRIED",NA,NA,"no","YES, MONEY",NA,"DONT BELIEVE",NA,NA,NA,NA,NA,NA,"yes","DIFFERENT STATE",NA,NA,"FULL-TIME","IND,NEAR DEM",NA,NA,"no",NA,NA,"no","MIDDLE ATLANTIC",NA,"YES, IN RELATIONSHIP","CITY GT 250000","HEAD OF HOUSEHOLD",NA,"Heterosexual or straight","SUBURB, 12 LRGST","Did not vote","no","no",NA,"no","no",NA,NA,"private","SUBURB, LRG CITY"
"27",35,31,17551.25,0,7,NA,125,52,1,NA,NA,3,5,5,3,NA,2,1,NA,3,2,2,NA,3,4,1,NA,2,1,2,3,NA,NA,NA,4,NA,3,0,4,NA,2,3,NA,3,6,3,0,NA,"Yes",NA,NA,"INSPIRED WORD",NA,"favor","USED LAST TIME","R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED",NA,"LIVING IN HOUSEHOLD","High School diploma","APARTMENT-COMMERCIAL","NAMES 1",NA,"no",NA,"1 GEN","MOTHER & FATHER",NA,NA,"male","BELIEVE BUT DOUBTS","white","No","neither",NA,NA,"yes","yes",NA,NA,"no","FULL-TIME","independent","SOMEONE ELSE","cellphone",NA,NA,NA,"no","MIDDLE ATLANTIC",NA,"YES, IN RELATIONSHIP",NA,NA,"male","Heterosexual or straight","SUBURB, 12 LRGST","Voted","no","no","no","no",NA,"yes","no","private","SUBURB, LRG CITY"
"28",NA,NA,NA,0,12,4,84,52,7,NA,NA,NA,NA,NA,NA,NA,4,NA,2,4,2,2,NA,NA,1,2,2,1,2,NA,NA,NA,4,NA,NA,6,6,NA,NA,7,NA,3,NA,2,5,3,0,1,NA,NA,"BALLOT B","INSPIRED WORD","yes",NA,"NOT USED",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE",NA,NA,"yes","yes","2 GENS, CHILDREN","MOTHER & FATHER",NA,NA,"male",NA,"white","Yes",NA,"married","married",NA,"no","SAME CITY","no",NA,NA,"NOT STR REPUBLICAN","SOMEONE ELSE",NA,NA,"yes",NA,NA,NA,"spouse",NA,"CITY GT 250000","HEAD OF HOUSEHOLD",NA,"Heterosexual or straight",NA,"Voted","no","yes","yes","no","no","no","yes","private",NA
"29",50,21,160742.21785,0,NA,6,84,52,2,3,0,NA,6,6,3,1,2,2,2,4,NA,1,3,2,NA,2,2,2,2,1,NA,2,1,2,2,3,NA,0,5,3,2,2,2,NA,4,3,0,NA,"Yes","Yes",NA,"INSPIRED WORD","yes","favor",NA,"R CONSENTS TO RECORDING INTERVIEW","cooperative",NA,"High School diploma",NA,"CANNOT CHOOSE 1",NA,"no","yes","1 GEN",NA,"no",NA,NA,"BELIEVE BUT DOUBTS","white",NA,"resp","married",NA,"yes","no",NA,"no",NA,"FULL-TIME",NA,NA,"cellphone",NA,NA,"CANT DISCRIMINATE",NA,"MIDDLE ATLANTIC","spouse","YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD",NA,"Heterosexual or straight",NA,"Voted","no","no",NA,NA,"no","yes",NA,"private","SUBURB, LRG CITY"
